generation,best_distance
1,1329.1043
2,1316.7420
3,1258.9079
4,1233.1481
5,1206.8872
6,1176.5109
7,1149.8487
8,1117.4973
9,1096.8755
10,1118.2954
11,1055.3283
12,1052.0859
13,1022.9032
14,1018.4942
15,996.8649
16,972.1598
17,947.2735
18,921.9949
19,925.7076
20,900.2218
21,892.0679
22,892.0679
23,873.2086
24,878.8681
25,882.1578
26,860.7373
27,837.7856
28,837.7856
29,814.4123
30,776.0553
31,792.6474
32,781.2368
33,753.9339
34,745.2943
35,753.3729
36,742.2077
37,700.8015
38,679.0527
39,688.6425
40,687.2883
41,687.2883
42,668.5743
43,651.4817
44,650.7855
45,628.1143
46,616.2276
47,618.7800
48,616.2276
49,611.2690
50,615.4386
51,599.9602
52,599.9602
53,599.9602
54,595.5098
55,595.5098
56,592.5770
57,587.2720
58,587.2720
59,587.2720
60,585.7158
61,585.7158
62,569.3859
63,569.3859
64,569.3859
65,569.3859
66,569.3859
67,569.3859
68,569.3859
69,569.3859
70,569.3859
71,569.3859
72,569.3859
73,567.2521
74,567.2521
75,567.2521
76,563.6982
77,561.5644
78,557.4163
79,557.4163
80,550.1279
81,544.7786
82,544.7786
83,543.1778
84,543.1778
85,543.1778
86,543.1778
87,543.1778
88,543.1778
89,543.1778
90,543.1778
91,543.1778
92,543.1778
93,543.1778
94,543.1778
95,543.1778
96,543.1778
97,543.1778
98,543.1778
99,543.1778
100,543.1778
101,543.1778
102,543.1778
103,543.1778
104,543.1778
105,543.1778
106,543.1778
107,531.7385
108,531.7385
109,531.7385
110,531.7385
111,531.7385
112,531.7385
113,531.7385
114,531.7385
115,531.7385
116,531.7385
117,531.7385
118,531.7385
119,531.7385
120,531.7385
121,531.7385
122,531.7385
123,531.7385
124,531.7385
125,531.7385
126,531.7385
127,531.7385
128,531.7385
129,531.7385
130,531.7385
131,531.7385
132,531.7385
133,531.7385
134,531.7385
135,529.1152
136,529.1152
137,529.1152
138,529.1152
139,529.1152
140,529.1152
141,529.1152
142,529.1152
143,529.1152
144,529.1152
145,529.1152
146,529.1152
147,529.1152
148,529.1152
149,529.1152
150,525.9190
151,525.9190
152,523.0199
153,522.5484
154,522.5484
155,515.0655
156,515.0655
157,507.7590
158,507.7590
159,507.7590
160,507.7590
