generation,best_distance
1,1426.1946
2,1251.2002
3,1251.2002
4,1215.9561
5,1195.1738
6,1147.5467
7,1098.8516
8,1090.1995
9,1069.3114
10,1023.0912
11,1023.0912
12,948.6866
13,948.6866
14,929.4468
15,929.4468
16,927.9545
17,908.6169
18,908.6169
19,866.7724
20,866.7724
21,854.3050
22,852.8207
23,825.2513
24,804.3589
25,804.3589
26,797.5149
27,784.9467
28,776.1477
29,768.4671
30,761.8907
31,759.6681
32,759.4512
33,752.3688
34,746.3778
35,730.6616
36,724.6705
37,724.6705
38,724.6705
39,722.6184
40,722.6184
41,722.6184
42,722.2079
43,710.0491
44,710.0491
45,699.3379
46,694.9101
47,690.7479
48,690.7479
49,690.4687
50,690.4687
51,677.8856
52,677.8856
53,665.3239
54,652.7408
55,652.7408
56,652.7408
57,621.6633
58,621.6633
59,605.7821
60,605.7821
61,605.7821
62,605.7821
63,605.7821
64,605.7821
65,605.7821
66,605.7821
67,605.7821
68,600.2722
69,600.2722
70,600.2722
71,600.2722
72,600.2722
73,600.2722
74,600.2722
75,600.2722
76,600.2722
77,600.2722
78,594.7677
79,594.7677
80,594.7677
81,594.7677
82,594.7677
83,594.7677
84,594.7677
85,594.7677
86,594.7677
87,586.1194
88,586.1194
89,586.1194
90,586.1194
91,586.1194
92,586.1194
93,586.1194
94,586.1194
95,586.1194
96,579.7499
97,579.7499
98,579.7499
99,579.7499
100,579.7499
101,579.7499
102,579.7499
103,579.7499
104,579.7499
105,579.7499
106,579.7499
107,579.7499
108,579.7499
109,579.7499
110,579.7499
111,579.7499
112,579.7499
113,579.7499
114,579.7499
115,579.7499
116,579.7499
117,579.7499
118,579.7499
119,579.7499
120,579.7499
121,579.7499
122,579.7499
123,579.7499
124,579.7499
125,579.7499
126,579.7499
127,579.7499
128,579.7499
129,579.7499
130,579.7499
131,577.2490
132,577.2490
133,577.2490
134,576.2315
135,572.1848
136,570.5127
137,570.5127
138,570.5127
139,570.5127
140,570.5127
141,570.5127
142,570.5127
143,570.5127
144,570.5127
145,570.5127
146,570.5127
147,570.5127
148,570.5127
149,570.3674
150,570.3674
151,570.3674
152,565.8360
153,565.8360
154,565.8360
155,565.2459
156,565.2459
157,561.6138
158,561.6138
159,559.2748
160,559.2748
161,555.0526
162,542.6993
163,538.0259
164,538.0259
165,538.0259
166,538.0259
167,538.0259
168,538.0259
169,538.0259
170,538.0259
171,538.0259
172,538.0259
173,538.0259
174,538.0259
175,538.0259
176,538.0259
177,538.0259
178,538.0259
179,538.0259
180,538.0259
181,538.0259
182,538.0259
183,538.0259
184,537.0492
185,537.0492
186,537.0492
187,537.0492
188,537.0492
189,537.0492
190,537.0492
191,537.0492
192,537.0492
193,537.0492
194,537.0492
195,537.0492
196,537.0492
197,537.0492
198,537.0492
199,537.0492
200,537.0492
201,537.0492
202,537.0492
203,533.0935
204,533.0935
205,533.0935
206,533.0935
207,533.0935
208,533.0935
209,533.0935
210,533.0935
211,533.0935
212,533.0935
213,533.0935
214,533.0935
215,533.0935
216,533.0935
217,533.0935
218,533.0935
219,533.0935
220,533.0935
221,533.0935
222,533.0935
223,530.6043
224,530.6043
