generation,best_distance
1,1398.5639
2,1398.5639
3,1393.4611
4,1371.2073
5,1371.2073
6,1345.6813
7,1345.6813
8,1345.6813
9,1345.6813
10,1345.6813
11,1345.6813
12,1345.6813
13,1345.6813
14,1345.6813
15,1345.6813
16,1345.6813
17,1345.6813
18,1345.6813
19,1330.4878
20,1325.1059
21,1325.1059
22,1325.1059
23,1325.1059
24,1322.9669
25,1322.9669
26,1322.9669
27,1322.9669
28,1322.9669
29,1322.9669
30,1322.9669
31,1322.9669
32,1321.7375
33,1321.7375
34,1300.5361
35,1300.5361
36,1278.0547
37,1271.4371
38,1257.7244
39,1229.0708
40,1223.4254
41,1223.2900
42,1217.6446
43,1217.6446
44,1203.1194
45,1203.1194
46,1203.1194
47,1203.1194
48,1157.7808
49,1157.7808
50,1128.0859
51,1120.2820
52,1088.4223
53,1088.4223
54,1088.4223
55,1088.4223
56,1086.5830
57,1086.5830
58,1056.0399
59,1056.0399
60,1056.0399
61,1056.0399
62,1056.0399
63,1056.0399
64,1056.0399
65,1056.0399
66,1056.0399
67,1056.0399
68,1056.0399
69,1056.0399
70,1056.0399
71,1056.0399
72,1056.0399
73,1056.0399
74,1056.0399
75,1056.0399
76,1055.1755
77,1054.8847
78,1054.8847
79,1054.8847
80,1054.8847
81,1054.8847
82,1045.7862
83,1045.3474
84,1045.3474
85,1045.3474
86,1045.3474
87,1045.3474
88,1023.5040
89,1023.5040
90,1023.5040
91,1023.5040
92,1023.5040
93,1023.5040
94,1023.5040
95,1023.5040
96,1023.5040
97,1023.5040
98,1023.5040
99,1004.6652
100,1004.6652
101,1004.6652
102,1004.6652
103,1004.6652
104,1004.6652
105,1004.6652
106,1004.6652
107,1004.6652
108,1004.6652
109,997.7443
110,997.7443
111,997.7443
112,997.7443
113,997.7443
114,997.7443
115,997.7443
116,997.7443
117,997.7443
118,997.7443
119,997.7443
120,997.7443
121,997.7443
122,997.7443
123,983.7610
124,983.7610
125,983.7610
126,983.7610
127,979.6426
128,962.7479
129,962.7479
130,962.7479
131,962.7479
132,962.7479
133,962.7479
134,962.7479
135,962.7479
136,962.7479
137,962.7479
138,962.7479
139,962.7479
140,962.7479
141,962.7479
142,956.3823
143,944.2276
144,944.2276
145,944.2276
146,944.2276
147,944.2276
148,944.2276
149,944.2276
150,932.4441
151,932.4441
152,932.4441
153,932.4441
154,932.4441
155,932.4441
156,932.4441
